period,date,site,diver,transect,side,dist,Sbulb_max,comments
2022-Jul,2022-07-10,Manley,DVM,1,na,na,16,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,14,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,12,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,32,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,19,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,18,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,19,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,24,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,14,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,40,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,21,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,24,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,32,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,45,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,51,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,36,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,38,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,34,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,44,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,52,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,22,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,41,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,27,
2022-Jul,2022-07-10,Breaker,DVM,2,na,na,20,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,23,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,20,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,35,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,31,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,27,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,39,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,26,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,12,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,17,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,13,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,40,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,28,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,14,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,26,
2022-Jul,2022-07-10,Manley,DVM,2,na,na,21,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,16,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,24,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,22,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,25,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,32,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,9,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,14,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,24,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,19,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,42,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,49,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,19,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,44,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,42,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,42,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,10,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,10,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,13,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,26,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,43,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,17,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,12,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,18,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,19,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,34,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,14,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,15,
2022-Jul,2022-07-10,Breaker,DVM,1,na,na,23,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,35,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,18,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,4,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,21,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,18,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,22,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,18,
